chapterCode,chapterType,chapterName,chapterLoc,chapterUrl,subDomain,presidentId,MDId,dateApproved,kseaId,pro_code
0,H,Headquarter,HQ,http://www.ksea.org,,102881,NULL,2021-07-01 00:00:00,NULL,KSEA
1,C,Central Pennsylvania,PA01," http://sites.psu.edu/ksea",,68074,NULL,NULL,24954,HAPA
2,C,Connecticut,CT01,,,100520,NULL,NULL,6495,NULL
3,C,Georgia,GA01,https://sites.google.com/site/kseagaweb,,71941,NULL,NULL,14917,ATGA
4,C,Indiana,IN01,http://in.ksea.org/,,66522,NULL,NULL,15359,LAIN
6,C,Michigan,MI01,http://mi.ksea.org/,,89124,NULL,NULL,14787,ANMI
7,C,Chicagoland,IL01,http://chicagoland.ksea.org/,,75497,NULL,NULL,NULL,CHIL
8,C,Minnesota,MN01,,,81091,NULL,NULL,726574,MIMN
9,C,New England,MA01,http://www.kseane.org,,79062,NULL,NULL,625872,CONH
10,C,New Jersey,NJ01,http://www.ksea-nj.org,,91444,NULL,NULL,14707,TRNJ
11,C,New York Metropolitan,NY01,http://www.kseany.org,,72341,NULL,NULL,8196,NYNY
12,C,North Carolina,NC01,http://nc.ksea.org,,72425,NULL,NULL,6819,CHNC
13,B,Northern CA,CA01,,,NULL,NULL,NULL,9385,NULL
14,C,Ohio,OH01,http://oh.ksea.org,,102223,NULL,NULL,11653,COOH
15,C,Seattle,WA01,http://seattle.ksea.org,,65424,NULL,NULL,12186,SEWA
16,C,Philadelphia,PA02,,,95017,NULL,NULL,727448,PEPA
17,B,St. Louis,MO03,http://stl.ksea.org,,102940,NULL,NULL,NULL,STMO
18,C,Southern CA,CA02,http://www.ksea-sc.org,,76499,NULL,NULL,24361,LOCA
19,C,South Texas,TX01,http://www.ksea-st.org,,69491,NULL,NULL,24619,HOTX
20,B,Upstate NY,NY02,,,NULL,NULL,NULL,6851,NULL
21,C,Washington Metro,MD01,http://dc.ksea.org,,85584,NULL,NULL,12657,WADC
22,B,West Penn,PA03,,,NULL,NULL,NULL,NULL,NULL
23,C,Alabama,AL01,http://al.ksea.org/,,92244,NULL,NULL,726781,TUAL
24,C,Austin TX,TX02,http://austin.ksea.org,,87762,NULL,NULL,12581,AUTX
25,B,Las Vegas,NV02,http://www.me.unlv.edu/~jslee/,,NULL,NULL,NULL,NULL,NULL
26,B,Colorado,CO01,,,NULL,NULL,NULL,NULL,NULL
29,B,West VA,WV01,,,NULL,NULL,NULL,NULL,NULL
30,C,Silicon Valley,CA05,http://www.ksea-siv.org,,NULL,NULL,NULL,,SJCA
