SS_ID,SubSpecialtyCode,SubSpecialtyDesc,MainSpecialtyCode,NRFCode
1,1,Classical and Real Analysis,101,2008AG10101
2,2,Complex and Harmonic Analysis,101,2008AG10102
3,3,Functional Analysis,101,2008AG10103
4,4,Variational and Non-linear Analysis,101,2008AG10104
5,5,Ordinary Differential Equation and Dynamical Systems,101,2008AG10105
6,6,Partial Differential Equations,101,2008AG10106
7,7,Analysis on Manifolds,101,2008AG10107
8,8,Lie Theory,101,2008AG10108
9,9,General Topology,101,2008AG10109
10,10,Algebraic Topology,101,2008AG10110
11,11,Geometric Topology,101,2008AG10111
12,99,"Mathematics -I, Others",101,2008AG10199
13,1,Classical Geometry,102,2008AG10201
14,2,Differential Geometry,102,2008AG10202
15,3,Complex Geometry,102,2008AG10203
16,4,Linear and Multi-Linear Algebra,102,2008AG10204
17,5,Mathematical Logic and Set Theory,102,2008AG10205
18,6,Number Theory,102,2008AG10206
19,7,Combinatorics,102,2008AG10207
20,8,Groups and Representations,102,2008AG10208
21,9,Algebraic Geometry and Commutative Rings,102,2008AG10209
22,10,Associative Rings,102,2008AG10210
23,11,Lie Algebra and Nonassociative Rings,102,2008AG10211
24,99,"Mathematics -II, Others",102,2008AG10299
25,1,Continuum Mechanics,103,2008AG10301
26,2,Numerical Analysis,103,2008AG10302
27,3,Mathematical Programming and Optimization,103,2008AG10303
28,4,Discrete Mathematics and Algorithm,103,2008AG10304
29,5,Cryptography,103,2008AG10305
30,6,Mathematics in Computer Science,103,2008AG10306
31,7,Mathematics in Natural Science,103,2008AG10307
32,8,Mathematics in Engineering,103,2008AG10308
33,9,Mathematics in Social Science,103,2008AG10309
34,99,"Applied Math, Others",103,2008AG10399
35,1,Probability Theory and Stochastic Process,104,2008AG10401
36,2,Statistical Theory,104,2008AG10402
37,3,Nonparametric Statistics,104,2008AG10403
38,4,Design of Experiments and Linear Models,104,2008AG10404
39,5,Time Series Analysis,104,2008AG10405
40,6,Multivariate Statistics,104,2008AG10406
41,7,Survey Methodology,104,2008AG10407
42,8,Computer Statistics,104,2008AG10408
43,9,Information Statistics,104,2008AG10409
44,10,Sociostatistics,104,2008AG10410
45,11,Biostatistics,104,2008AG10411
46,12,Industrial Statistics,104,2008AG10412
47,99,"Statistics, Others",104,2008AG10499
48,1,Atomic and Molecular Physics,111,2008AG11101
49,2,Nuclear Physics,111,2008AG11102
50,3,Nuclear Reactions and Scattering,111,2008AG11103
51,4,Particle Physics,111,2008AG11104
52,5,Intermediate Energy Reactions,111,2008AG11105
53,6,Weak Interactions,111,2008AG11106
54,7,Plasma Physics,111,2008AG11107
55,8,Experimental Methods and Instrumentation,111,2008AG11108
56,9,Acoustics,111,2008AG11109
57,10,Optics,111,2008AG11110
58,11,Lasers,111,2008AG11111
59,12,Photonics,111,2008AG11112
60,13,Biophysics,111,2008AG11113
61,14,Accelerator and Beam Physics,111,2008AG11114
62,99,"Physics-Basic, Others",111,2008AG11199
63,1,"Kinetic and Transport Theory of Fluids, Physical Properties of Gases",112,2008AG11201
64,2,Theory of Elementary Particles and Fields,112,2008AG11202
65,3,Classical and Quantum Physics,112,2008AG11203
66,4,Relativity and Gravitation,112,2008AG11204
67,5,Statistical Mechanics and Thermodynamics,112,2008AG11205
68,6,Computational Physics,112,2008AG11206
69,7,Mathematical Physics,112,2008AG11207
70,99,"Physics - Theory & Computation, Others",112,2008AG11299
71,1,Planetary and Solar System,113,2008AG11301
72,2,Stellar,113,2008AG11302
73,3,Galactic,113,2008AG11303
74,4,Extra Galactic and Cosmology,113,2008AG11304
75,5,Instrumentation,113,2008AG11305
76,6,Upper Atmosphere,113,2008AG11306
77,7,Space Plasmas,113,2008AG11307
78,8,Space Sciences,113,2008AG11308
79,9,High Energy Astrophysics,113,2008AG11309
80,10,Radio,113,2008AG11310
81,11,Interstellar Matter,113,2008AG11311
82,99,"Physics -Astronomy, Others",113,2008AG11399
83,1,Superconductivity,114,2008AG11401
84,2,Electronic Properties of Solids,114,2008AG11402
85,3,"Surfaces, Interfaces and Thin Films",114,2008AG11403
86,4,Semiconductors,114,2008AG11404
87,5,Magnetic Properties and Magnetic Materials,114,2008AG11405
88,6,Optical Properties,114,2008AG11406
89,7,Transport Properties,114,2008AG11407
90,8,Superfluids,114,2008AG11408
91,9,Low Temperature Physics,114,2008AG11409
92,10,Statistical Mechanics and Phase Transitions,114,2008AG11410
93,11,Soft Condensed Matter,114,2008AG11411
94,12,Mesoscopic Physics,114,2008AG11412
95,13,Ferroelectric and Related Materials,114,2008AG11413
96,14,Disordered Systems,114,2008AG11414
97,99,"Physics -Condensed Matter, Others",114,2008AG11499
