ID,APS_ID,memberID,SequenceID
16784,22,0,1
4480,3,64266,1
3074,0,64267,1
17038,0,64273,1
9711,0,64282,1
2490,1,64287,1
2147,1,64289,1
3669,0,64292,1
4481,0,64293,1
17173,0,64299,1
5826,0,64303,1
11716,0,64305,1
4803,0,64306,1
2776,0,64312,1
6622,10,64315,1
2909,30,64319,1
9299,26,64333,1
14935,1,64337,1
460,0,64340,1
904,4,64341,1
11761,0,64345,1
2333,0,64346,1
11695,0,64349,1
3382,1,64354,1
2958,0,64357,1
2857,0,64358,1
4806,0,64361,1
907,0,64365,1
1869,0,64366,1
12461,0,64370,1
2561,18,64371,1
2777,0,64374,1
9850,0,64375,1
5639,21,64378,1
3320,0,64379,1
4735,1,64383,1
4777,0,64384,1
1883,1,64387,1
9580,0,64388,1
4682,0,64396,1
4973,0,64398,1
6367,0,64401,1
1922,0,64406,1
16783,3,64411,1
954,0,64416,1
4794,0,64421,1
16705,0,64423,1
3212,8,64424,1
639,12,64430,1
16785,0,64439,1
909,0,64442,1
984,6,64444,1
26414,20,64444,2
4007,0,64447,1
390,0,64448,1
16706,0,64449,1
2302,6,64451,1
17163,30,64455,1
27347,3,64455,2
11200,0,64458,1
5390,0,64462,1
1018,4,64463,1
1201,20,64465,1
4388,4,64471,1
1455,0,64475,1
11059,26,64476,1
14715,0,64479,1
16845,0,64483,1
1884,1,64485,1
20533,0,64487,1
11155,0,64491,1
3418,0,64494,1
4482,0,64501,1
4970,0,64502,1
14545,0,64504,1
777,0,64508,1
1364,0,64512,1
9150,15,64515,1
1825,0,64517,1
4389,0,64518,1
18295,30,64522,1
4933,20,64524,1
3931,0,64527,1
9313,0,64535,1
4390,15,64539,1
17204,0,64540,1
12333,26,64542,1
2868,0,64556,1
4391,0,64562,1
11717,0,64565,1
11277,0,64568,1
1628,4,64579,1
2667,0,64585,1
1795,4,64591,1
16015,0,64599,1
952,20,64603,1
4392,0,64611,1
9860,0,64614,1
6493,4,64620,1
750,30,64628,1
27171,30,64628,2
1874,0,64632,1
4393,0,64633,1
4395,0,64636,1
910,0,64643,1
1830,1,64647,1
4396,20,64658,1
26059,20,64658,2
2535,0,64661,1
770,0,64663,1
9853,18,64672,1
12302,0,64673,1
4397,15,64682,1
4483,0,64683,1
870,0,64686,1
2410,0,64687,1
17723,0,64688,1
6021,0,64712,1
19567,0,64721,1
7042,3,64724,1
906,4,64725,1
1540,0,64727,1
616,4,64738,1
4398,0,64747,1
4399,0,64748,1
3311,8,64757,1
23797,0,64758,1
2309,15,64760,1
4183,0,64761,1
3938,26,64765,1
6389,3,64766,1
5391,0,64791,1
2921,30,64804,1
2942,0,64840,1
19650,0,64843,1
1102,7,64849,1
2320,0,64850,1
1127,8,64852,1
2411,21,64859,1
17299,0,64874,1
11260,15,64879,1
4400,0,64882,1
14688,5,64886,1
4484,8,64912,1
2724,0,64933,1
4895,17,64959,1
8234,0,64962,1
15619,0,64966,1
12730,0,64990,1
5555,0,65010,1
9066,15,65014,1
11390,26,65017,1
3327,0,65023,1
9581,0,65053,1
562,24,65056,1
1948,6,65065,1
4032,0,65073,1
4401,0,65076,1
785,0,65123,1
3703,0,65127,1
1589,0,65140,1
8358,0,65157,1
9101,0,65165,1
793,0,65167,1
9288,0,65170,1
4485,18,65171,1
5567,19,65172,1
15740,0,65179,1
1478,1,65180,1
4486,7,65196,1
713,9,65218,1
4402,20,65228,1
26061,20,65228,2
4403,26,65230,1
11351,0,65233,1
4404,6,65234,1
4406,0,65237,1
1300,4,65245,1
605,9,65268,1
15166,0,65290,1
1418,0,65292,1
651,0,65310,1
1251,23,65312,1
9138,15,65314,1
1344,13,65318,1
22637,30,65319,1
11767,0,65320,1
9790,30,65333,1
17037,0,65335,1
5176,0,65384,1
6001,0,65399,1
977,0,65402,1
6352,26,65409,1
2891,4,65424,1
2763,20,65436,1
805,0,65445,1
3088,0,65446,1
9406,0,65455,1
1720,1,65467,1
1731,3,65492,1
28220,7,65492,2
15953,0,65493,1
4407,0,65494,1
933,4,65497,1
5136,0,65498,1
2062,4,65501,1
27281,0,65504,1
1737,7,65512,1
2804,17,65513,1
3246,0,65518,1
5888,0,65521,1
2922,0,65524,1
2951,1,65532,1
2501,4,65533,1
4408,0,65535,1
1599,4,65542,1
934,4,65544,1
11763,0,65545,1
2950,1,65570,1
11718,0,65572,1
29833,2,65582,1
11727,0,65596,1
2859,6,65598,1
5709,4,65599,1
2722,0,65613,1
948,0,65646,1
9014,15,65648,1
15723,0,65662,1
24247,0,65674,1
9291,0,65676,1
29861,0,65682,1
6100,0,65687,1
9145,15,65709,1
14690,0,65725,1
2721,0,65728,1
926,0,65733,1
3408,0,65735,1
2222,30,65738,1
18758,0,65754,1
21560,0,65773,1
4409,0,65775,1
5431,0,65781,1
12460,0,65787,1
11777,0,65788,1
1621,0,65789,1
1299,4,65803,1
1000,30,65815,1
8757,28,65821,1
4237,16,65823,1
11781,0,65824,1
11770,0,65825,1
11772,0,65828,1
4687,0,65836,1
9878,0,65853,1
11120,26,65860,1
11778,0,65864,1
11783,0,65865,1
11773,0,65866,1
11769,0,65870,1
11768,0,65872,1
11774,0,65874,1
11775,0,65877,1
11782,0,65881,1
11771,0,65883,1
11776,0,65884,1
11779,0,65886,1
808,0,65964,1
4410,0,65973,1
9277,20,65978,1
28488,0,65988,1
4411,0,65997,1
2579,0,66002,1
3736,4,66015,1
1680,0,66039,1
4412,0,66041,1
1208,18,66059,1
1669,0,66072,1
3273,0,66077,1
4031,0,66080,1
10541,0,66093,1
706,9,66102,1
583,20,66110,1
26060,6,66110,2
27544,30,66110,3
986,6,66111,1
26574,20,66111,2
2472,5,66120,1
11314,0,66122,1
609,9,66138,1
8171,0,66149,1
19640,0,66156,1
725,0,66198,1
4413,0,66201,1
802,26,66202,1
921,0,66223,1
18513,0,66226,1
3002,26,66227,1
4414,0,66240,1
931,4,66241,1
17207,0,66246,1
5119,4,66263,1
9870,0,66269,1
8616,26,66274,1
4335,0,66297,1
3693,3,66300,1
14049,0,66307,1
3168,4,66339,1
11266,0,66345,1
1778,6,66346,1
14303,0,66347,1
935,1,66348,1
26620,1,66348,2
8625,1,66350,1
12500,21,66371,1
10779,0,66372,1
4415,0,66381,1
726,0,66383,1
27339,0,66426,1
12301,0,66452,1
17812,0,66458,1
4233,18,66476,1
2876,3,66520,1
3709,3,66522,1
14847,0,66588,1
5985,0,66628,1
1683,0,66671,1
4487,0,66744,1
9023,7,66746,1
2787,0,66752,1
2703,0,66754,1
9603,0,66781,1
1748,7,66785,1
389,0,66788,1
8494,19,66790,1
4799,0,66799,1
7446,0,66801,1
5825,20,66805,1
8242,6,66810,1
6385,4,66813,1
2412,6,66818,1
26062,6,66818,2
17743,0,66820,1
12417,0,66826,1
1952,23,66830,1
2844,0,66836,1
10531,26,66837,1
23923,0,66841,1
4488,0,66845,1
996,6,66851,1
939,20,66854,1
1761,7,66871,1
18584,0,66914,1
4489,0,66915,1
7471,26,66916,1
1724,0,66924,1
1055,0,66925,1
6874,3,66929,1
1725,0,66939,1
4090,0,66946,1
4907,10,66950,1
3213,1,67005,1
29581,4,67009,1
19648,30,67030,1
4791,0,67038,1
2170,0,67042,1
5717,3,67048,1
4416,0,67050,1
3939,0,67076,1
877,0,67078,1
532,9,67126,1
6356,0,67132,1
2686,0,67138,1
14050,0,67153,1
2231,0,67174,1
1301,0,67184,1
4306,26,67189,1
468,0,67201,1
4417,0,67208,1
1597,0,67210,1
3675,3,67218,1
3691,3,67219,1
3698,3,67220,1
3720,3,67221,1
17373,0,67224,1
4490,0,67230,1
411,0,67233,1
2060,4,67237,1
1077,7,67239,1
9395,24,67241,1
3936,0,67245,1
4785,0,67269,1
12599,0,67272,1
4418,0,67291,1
11764,0,67295,1
5626,0,67309,1
5665,22,67320,1
774,0,67330,1
405,0,67332,1
1775,6,67334,1
19240,0,67351,1
1296,0,67356,1
2143,0,67361,1
1457,1,67367,1
475,0,67369,1
4419,0,67372,1
2399,16,67374,1
593,20,67375,1
27945,20,67375,2
27946,20,67375,3
28022,3,67377,2
28023,3,67377,3
8424,3,67377,1
949,0,67378,1
5933,0,67387,1
2560,0,67392,1
1396,0,67393,1
15164,0,67397,1
11209,0,67398,1
4491,0,67402,1
4420,0,67403,1
821,5,67404,1
1875,1,67405,1
3655,0,67407,1
17557,7,67410,1
3076,7,67421,1
1620,0,67426,1
4005,0,67428,1
15636,1,67437,1
3973,5,67438,1
2933,0,67440,1
8465,0,67443,1
4947,3,67464,1
4421,0,67469,1
3080,4,67478,1
14300,0,67484,1
19424,0,67499,1
771,0,67508,1
1222,0,67519,1
3881,0,67524,1
4422,3,67566,1
619,0,67573,1
1388,0,67576,1
