MS_ID,KSEAID,SS_ID,PivotKey
52755,1852503,533,1
52757,1852504,582,2
52758,1852504,575,3
68187,1340247,425,1
68188,1340247,414,2
52777,1852507,414,1
52778,1852507,414,2
52779,1852507,414,3
52780,1852508,451,1
52781,1852508,452,2
52782,1852508,457,3
52989,1852511,41,1
52990,1852511,44,2
52806,1852513,232,2
52813,1852519,297,1
52814,1852520,368,1
52815,1852520,370,2
52816,1852520,374,3
52817,1852521,6,1
52818,1852521,3,2
52819,1852521,25,3
59722,1854692,593,1
59723,1854692,593,1
59724,1854694,62,1
52838,1442831,297,1
52841,1749980,196,2
78473,2159888,369,3
80988,2160750,593,1
61916,1546775,372,3
52848,1852526,297,1
85690,2261888,474,1
52858,1852528,425,1
53022,1852577,395,1
52876,1031600,385,1
52879,1750909,593,1
52886,1852532,382,2
63657,1237799,433,1
63658,1237799,434,2
62943,25253,62,2
57287,1030270,366,1
57221,1852444,268,1
59767,1751170,361,2
84433,2058729,375,2
59844,1854472,107,1
52916,1852537,41,2
53665,1852753,349,1
52919,1547743,593,1
52935,1852547,45,3
52938,1852547,45,3
52941,1852550,255,2
52954,1852556,235,1
52958,1852558,576,1
52960,1852558,576,1
52962,1852558,576,1
52963,1852558,576,1
52970,1852567,378,1
52988,1547408,455,3
53000,1852573,106,1
53001,1852573,107,2
53023,1852577,348,2
53024,1852577,428,3
76285,2159512,593,1
73026,1032230,252,3
73038,1854735,434,3
59845,1854472,429,2
53130,1133566,294,1
53743,1340342,251,1
53161,1852595,471,2
55300,1030378,569,1
55301,1030378,570,2
55302,1030378,570,3
56392,1853225,353,2
56393,1853225,362,3
56409,1649634,305,3
53188,1852603,476,2
64027,10237,368,2
54272,1134022,429,2
53248,1852629,261,1
53250,1852629,261,1
53252,1852631,261,1
72752,2058474,529,2
62395,1852635,381,2
85015,1750410,378,2
56955,1853480,252,1
53279,1852639,366,2
80012,726511,269,1
74799,2059209,236,1
70255,1956548,10,2
79604,727031,370,2
54397,1852909,465,3
53344,929349,340,1
53345,929349,384,2
53350,1852650,249,3
53356,1852652,84,3
53367,1852656,470,1
59947,1750193,478,2
83254,1648105,449,1
83255,1648105,442,2
72753,2058474,529,3
53405,1031937,517,1
53406,1031937,514,2
53423,1852669,470,1
60968,1955044,218,1
71054,1133596,376,2
85749,2261893,513,2
85441,2261834,261,1
60906,1852682,180,2
76772,2159641,385,1
68389,1957490,593,1
79194,2058987,297,1
53498,1546606,452,1
53536,1852704,117,2
53540,1852704,117,2
53543,1852704,116,1
53546,1852704,117,2
53549,1852704,116,1
53553,1852704,116,1
53556,1852704,117,2
53558,1852704,117,2
53559,1852704,116,1
53560,1852704,117,2
53561,1852704,116,1
53562,1852704,117,2
53563,1852704,116,1
53564,1852704,117,2
61743,1853373,72,2
70396,828262,272,2
56666,1853375,35,1
56668,1853375,35,1
56669,1853375,35,1
84226,2058591,393,1
53571,1852725,593,1
53572,1852725,593,1
53573,1852725,593,1
53574,1852725,593,1
53575,1852725,593,1
53576,1852725,593,1
60654,1752106,397,1
56894,1853453,235,1
61624,1955305,251,1
74842,1032110,389,1
53613,1852739,379,1
74871,828157,457,1
53615,1852741,370,1
53621,1852744,218,1
74872,828157,458,2
82362,1751861,283,1
72255,1032254,235,2
79408,2160248,370,1
82143,2059002,107,1
53666,1852753,345,2
81729,1955297,235,2
53684,1852450,251,1
53702,1852756,42,3
53704,1852757,392,1
53705,1852757,385,2
53706,1852757,393,3
56684,1853385,145,1
57144,1853545,370,1
71901,1647888,425,1
71902,1647888,268,2
71903,1647888,131,3
56685,1853385,145,1
56414,1751575,245,2
63982,1751576,374,2
60285,1854831,378,2
85845,2058708,352,1
55537,11980,514,2
55538,11980,514,3
53723,1852767,368,1
53724,1852768,395,1
53725,1852769,374,1
53744,1340342,249,2
53745,1340342,249,3
53762,1441903,26,1
53765,930053,231,2
75389,2059293,374,2
53779,1442525,272,3
53784,1338971,451,1
53785,1338971,456,2
53794,1852789,425,1
53801,1852792,395,2
53804,1852795,593,1
70725,1956344,174,1
53840,1852812,330,1
66220,1852801,396,1
66221,1852801,374,2
66222,1444714,1,1
66223,1444714,1,2
76311,726700,465,1
76312,726700,464,2
53841,1030957,235,1
53842,1030957,264,2
53843,1030957,264,3
53851,1852819,235,1
53852,1852820,297,1
53864,1852823,395,1
53865,1852823,393,2
53866,1852823,385,3
85268,1135159,313,3
74011,11619,451,3
62944,25253,62,3
82264,2161055,474,1
54041,1444752,312,2
53883,1852827,218,1
61865,625554,218,1
53891,1852828,241,1
53913,1237804,349,2
68089,1132589,1,1
70742,2058556,261,1
66542,1957051,370,1
63735,1955786,382,1
67339,1957381,325,1
75574,1442404,593,1
75575,1442404,269,2
75576,1442404,269,3
54975,1750399,364,3
53994,1648659,100,1
53995,1648659,106,2
53996,1648659,106,3
76313,726700,468,3
54000,1444187,536,1
54001,1444187,537,2
54002,1444187,537,3
81107,2160767,452,1
54019,1852851,593,1
81123,2160773,116,1
81124,2160773,125,2
80115,1135336,389,1
80116,1135336,380,2
80117,1135336,380,3
54169,1852872,216,2
54172,1852873,252,2
54081,626463,437,3
54085,1852858,272,1
54086,1852858,269,2
54087,1852858,269,3
54093,1852860,235,2
82120,1545774,252,1
55932,1853113,593,1
85300,1957641,458,1
60378,1854858,458,1
60379,1854858,458,2
54135,1443413,45,1
54136,1852867,374,1
80989,2160750,544,2
68792,2057927,458,1
74542,1852874,270,1
62949,1134554,272,3
62951,1955657,377,1
54196,1852880,366,2
54199,1852880,366,1
54202,1852880,366,2
54205,1852880,366,1
54208,1852880,366,2
54212,1852880,366,2
81125,2160773,125,3
78872,2058929,261,1
59950,1854737,425,1
54231,1132799,346,1
54244,1852897,272,1
54245,1852897,231,2
55180,1852951,244,1
85016,1750410,378,3
54262,1852899,253,3
85321,2261811,232,2
55338,1853006,433,1
54521,1132619,473,2
59294,1751882,237,2
59295,1751882,237,3
82712,2058585,253,2
82733,1132776,359,3
55339,1853006,433,1
55734,1853069,441,3
83882,2261560,562,1
76559,929031,270,1
62842,14405,562,2
62969,1955661,434,2
54597,1750509,516,2
76756,2159636,593,1
62788,1031413,237,1
62789,1031413,236,2
54950,1852934,458,2
54951,1852934,456,3
71655,252,35,2
54751,1852927,393,1
54752,1852927,392,2
54753,1852927,382,3
69443,2058114,352,2
55196,1852956,593,1
55596,1132349,2,3
78537,25229,377,1
75173,2059265,45,1
73590,1236433,312,1
73405,2058998,471,1
73406,2058998,472,2
63906,625862,458,1
62952,1955657,362,2
62953,1955657,364,3
62970,1955661,441,3
55061,1339814,269,2
55062,1339814,269,3
55088,1750608,394,2
55089,1750608,394,3
55100,1852944,574,3
55101,1852944,218,1
53012,1338207,252,3
53034,1750555,352,1
53035,1750555,352,2
80074,2059172,368,1
81047,2160760,593,1
78564,2159912,370,2
53173,1546756,173,1
85773,1751036,1,1
73902,1752013,102,1
53347,1339165,593,1
74891,2059218,257,1
85639,2059227,173,1
85640,2059227,173,2
53443,1852675,470,1
53456,1852684,470,1
53457,1852685,470,1
53466,1649837,470,1
53470,1341376,250,1
53471,1341376,241,2
53472,1341376,244,3
53475,828379,417,1
76977,1338338,386,1
76978,1338338,389,2
76979,1338338,389,3
53617,1852742,537,1
59842,1854723,297,1
59843,1854723,297,1
53753,928987,235,2
80937,1338026,393,1
61852,1649670,425,1
73385,1955406,131,1
53808,1852799,213,1
53929,1547100,251,1
53936,1852836,235,1
53937,1852837,395,1
75399,2059299,374,1
75400,2059299,375,2
75401,2059299,377,3
77705,12362,389,3
81004,1751235,479,1
77673,2058712,368,2
79015,2160109,593,1
78277,827533,237,1
54390,828107,394,1
54391,828107,389,2
75586,1546640,352,1
71053,1133596,374,1
54454,1546614,348,1
54655,1852917,89,1
54656,1852917,84,2
54657,1852917,84,3
55804,1853077,393,1
78686,2159978,395,1
54995,1852937,362,1
54999,1443389,347,1
55000,1443389,349,2
55001,1443389,349,3
75077,1444159,457,1
69569,1955461,374,2
69570,1955461,373,3
55016,25363,370,1
55017,25363,373,2
55018,25363,373,3
81102,1853397,47,1
55117,8197,362,1
55118,8197,364,2
55119,8197,364,3
72479,2058803,374,1
74665,1338147,106,1
55183,1852918,183,2
75200,2059266,367,1
55138,1852947,320,1
55139,1852947,321,2
55140,1852947,131,3
63893,1955840,104,2
55184,1852952,191,1
55185,1852952,593,2
66387,1956941,1,1
55214,1852965,593,1
55225,1852972,593,1
55237,1030282,95,2
63485,1955736,420,1
63486,1955736,420,2
63487,1955736,420,1
55244,1852980,263,2
84427,2261676,473,1
85542,1030104,232,1
76683,2159618,593,1
84430,1956012,261,1
62563,1955573,500,1
55303,1852239,12,1
55305,1649690,593,1
76168,2159491,370,1
68023,1957621,370,1
68026,1957623,362,1
68027,1957623,362,2
55381,1649161,35,1
78862,2160063,196,2
82217,2159494,581,2
55813,1853083,12,1
61803,1955383,533,1
70127,1955384,378,1
69422,1956981,101,1
55630,1853038,297,2
66010,929330,353,2
65869,1956703,395,2
55578,13416,364,2
68866,1647948,261,1
68867,1647948,472,2
55502,1853043,365,1
55503,1853043,355,2
55504,1649074,370,1
74150,2059153,472,1
55548,1853026,593,1
74151,2059153,471,2
74152,2059153,474,3
63425,1955729,218,1
67092,1340971,241,1
55628,1853056,124,1
74550,2059186,235,1
55573,1649094,367,1
64035,1955860,464,1
55694,1853064,250,1
63578,1852776,252,2
55696,1853066,389,1
55815,1444050,420,1
64372,1955954,368,2
74074,1853123,261,1
85074,14667,413,1
55739,1750392,424,1
55740,1750392,423,2
55741,1750392,420,3
63458,1134082,394,1
84056,2261597,528,1
84296,1955301,261,3
83493,1852277,235,1
78150,1649339,315,2
55850,1853093,478,2
70419,1235565,232,2
75680,14981,382,2
64373,1955954,370,3
73404,1955919,340,1
64224,1235545,267,3
55904,1546777,45,2
55910,1750393,475,2
55915,1853104,393,2
55928,1853109,12,1
55935,1853116,366,1
64378,1235586,434,2
70436,2058465,348,1
63284,1955696,57,1
63285,1955696,48,2
56042,1853129,420,1
56164,1853147,257,2
56117,1751716,575,1
65067,1751437,377,2
75993,1546148,593,2
57981,1854141,593,1
64036,1955860,469,2
56139,1853142,593,1
66331,1956917,101,1
66332,1956917,106,2
56960,1853478,349,3
83283,2159621,57,2
79597,1750926,305,1
70287,2058439,394,1
84998,1854125,237,3
69842,1853457,458,1
65946,1649445,425,1
56245,1853168,297,1
72288,1547049,370,3
64537,1956017,371,2
56256,1853172,476,1
56268,1853174,537,1
56269,1853174,537,1
56271,1751298,119,2
56272,1853176,251,1
56273,1853176,251,1
56277,1853178,366,1
56278,1853178,366,2
56279,1853178,366,3
56280,1853178,366,1
56281,1853178,366,2
56282,1853178,366,3
56283,1853178,366,1
